Name,CourseID,NumberOfCredits,CourseLevel,NumberOfStudents,CoursePreRequisite,CoursePreRequisiteTwo,CourseCoRequisite,ProgramOfStudy,ProgramOfStudyTwo,ProgramOfStudyThree,ProgramOfStudyFour
English I,3220100,1,9,0,none,none,none,English,none,none,none
English II,3220200,1,10,0,English I,none,none,English,none,none,none
English III,3220300,1,11,0,English II,none,none,English,none,none,none
English IV,3220400,1,12,0,English III,none,none,English,none,none,none
Pre-AP English I,3220100,1,9,0,none,none,none,English,none,none,none
Pre-AP English II,3220200,1,10,0,Pre-AP English I,none,none,English,none,none,none
AP English III Language and Composition,A3220100,1,11,0,Pre-AP English II,none,none,English,none,none,none
AP English IV Literature and Composition,A3220200,1,12,0,AP English III Language and Composition,none,none,English,none,none,none
College Preperatory Course ELA,CP110100,0.5,10,0,Elective,none,none,English,none,none,none
Communications Applications Dual Credit (San Jacinto College),3241400,0.5,11,0,Elective,none,none,English,none,none,none
Creative Writing,3221200,0.5,11,0,Elective,none,none,English,none,none,none
English IV Dual credit (San Jancito College - ENG 1301/1302),3220400,1,12,0,Elective,none,none,English,none,none,none
Independent Study in English Hebrew Scriptures and the New Testament,03221830/03221840,1,9,0,Elective,none,none,English,none,none,none
Journalism,3230100,1,9,0,Elective,none,none,English,none,none,none
Journalism: Yearbook Production I,3230110,1,10,0,Journalism,none,none,English,none,none,none
Journalism: Yearbook Production II,3230120,1,11,0,Journalism: Yearbook Production I,none,none,English,none,none,none
Journalism: Yearbook Production III,3230130,1,12,0,Journalism: Yearbook Production II,none,none,English,none,none,none
Newcomers English Language Development (A&B),N1280042/N1280043,1,9,0,none,none,none,English,none,none,none
Photojournalism,3230800,1,10,0,Journalism,none,none,English,none,none,none
Practical Writing,3221300,0.5,10,0,Elective,none,none,English,none,none,none
University of Texas OnRamps – English IV,UE431A/UE431B,1,12,0,Elective,none,none,English,none,none,none
PSAT/SAT/ACT Prep: Independent Study in English,3221800,0.5,9,0,Elective,none,none,English,none,none,none
Social Intelligence for ESL Students,N1280041,0.5,9,0,Elective,none,none,English,none,none,none
Algebra I,3100500,1,9,0,none,none,none,Math,none,none,none
Algebra II,3100600,1,10,0,Algebra I,none,none,Math,none,none,none
Pre-AP Algebra II,3100600,1,10,0,Algebra I,none,none,Math,none,none,none
Algebra III/Dual Credit College Algebra (San Jacinto College),3102500,1,11,0,Elective,none,none,Math,none,none,none
Algebraic Reasoning,3102540,1,9,0,Elective,none,none,Math,none,none,none
AP Calculus AB,A3100101,1,12,0,Pre-Calculus,none,none,Math,none,none,none
College Preparatory Course Mathematics,CP111200,1,10,0,Algebra II,none,none,Math,none,none,none
Geometry,3100700,1,9,0,Algebra I,none,none,Math,none,none,none
Pre-AP Geometry,3100700,1,9,0,Algebra I,none,none,Math,none,none,none
Mathematical Models with Applications,3102400,1,11,0,Algebra I,none,none,Math,none,none,none
University of Texas OnRamps – College Algebra,UM531A/UM531B,1,12,0,Elective,none,none,Math,none,none,none
Pre-Calculus,3101100,1,11,0,Algebra II,Geometry,none,Math,none,none,none
Pre-AP Pre-Calculus,3101100,1,11,0,Algebra I,Geometry,none,Math,none,none,none
Statistics and Business Decision Making (CTE Course),13016900,1,12,0,Algebra II,Elective,none,Math,none,none,none
AP Statistics,A3100200,1,12,0,Algebra II,none,none,Math,none,none,none
Advanced Animal Science (CTE Course),13000700,1,12,0,Elective,Chemistry,none,Science,none,none,none
Advanced Plant & Soil Science (CTE Course),13002100,1,12,0,Elective,Chemistry,none,Science,none,none,none
Anatomy and Physiology (CTE Course),13020600,1,12,0,Elective,Chemistry,none,Science,none,none,none
Biology,3010200,1,9,0,none,none,none,Science,none,none,none
Pre AP Biology,3010200,1,9,0,none,none,none,Science,none,none,none
AP Biology,A3010200,1,11,0,Pre-AP Biology,none,none,Science,none,none,none
Chemistry,3040000,1,10,0,Algebra I,Biology,none,Science,none,none,none
AP Chemistry,A3040000,1,11,0,Algebra II,Chemistry,none,Science,none,none,none
Earth and Space Science,3060200,1,11,0,Chemistry,none,none,Science,none,none,none
